Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Repaired?,Final?,FetchDate,Ticker
2026-03-16 03:00:00,47.1171347233,47.1171347233,45.4607511056,45.8698577881,5913000,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-17 03:00:00,45.7401412283,47.1670263875,45.6403605932,46.099357605,5780200,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-18 03:00:00,46.0494678864,46.6481593177,45.8299459186,46.0594444275,5688200,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-19 03:00:00,44.9019698953,46.7180048176,44.8520795789,46.4885063171,5299300,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-20 03:00:00,46.3987031025,46.4286365316,45.3410108658,45.85987854,10234300,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-23 03:00:00,46.5200004578,47.8100013733,46.2799987793,47.25,5584500,0.100121,0,False,True,1774560930678,WEGE3.SA
2026-03-24 03:00:00,47.25,47.6100006104,46.5200004578,47.4500007629,5779900,0.0,0,False,True,1774560930678,WEGE3.SA
2026-03-25 03:00:00,48.2799987793,48.9700012207,47.6699981689,48.1800003052,8453500,0.0,0,False,False,1774560930678,WEGE3.SA
2026-03-26 03:00:00,47.7900009155,48.3499984741,47.2999992371,47.5200004578,4593900,0.0,0,False,False,1774560930678,WEGE3.SA
2026-02-25 03:00:00,27.2389191362,27.7376177753,27.2089984354,27.5082168579,29552800,0.0,0,False,True,1774560934640,BBAS3.SA
2026-02-26 03:00:00,27.4483747628,27.6578272873,26.9097792957,27.2089996338,24720400,0.0,0,False,True,1774560934640,BBAS3.SA
2026-02-27 03:00:00,27.0194930303,27.1790764462,26.800066309,26.879858017,20417600,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-02 03:00:00,26.2415224508,26.9097787185,26.0320699308,26.879858017,23891500,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-03 03:00:00,26.1800003052,26.2900009155,25.3799991608,25.7700004578,62065500,0.070142,0,False,True,1774560934640,BBAS3.SA
2026-03-04 03:00:00,26.0100002289,26.4699993134,25.75,25.9400005341,14597900,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-05 03:00:00,25.75,25.9300003052,24.9699993134,25.0,24730900,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-06 03:00:00,24.8999996185,25.1599998474,24.4099998474,24.75,20986400,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-09 03:00:00,24.5200004578,25.0300006866,24.3099994659,24.7000007629,18981100,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-10 03:00:00,25.0699996948,25.5100002289,24.6499996185,25.1399993896,21786700,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-11 03:00:00,24.9300003052,25.6700000763,24.8199996948,25.3400001526,16908800,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-12 03:00:00,25.1599998474,25.25,24.1700000763,24.2299995422,34978900,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-13 03:00:00,24.4599990845,24.6800003052,23.6900005341,23.75,38122400,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-16 03:00:00,24.2600002289,24.3400001526,23.8199996948,23.8999996185,30930000,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-17 03:00:00,23.8999996185,24.1900005341,23.6499996185,23.6700000763,22315500,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-18 03:00:00,23.6000003815,23.8400001526,23.4099998474,23.4099998474,15566500,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-19 03:00:00,23.1299991608,23.7299995422,22.8899993896,23.5100002289,29427500,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-20 03:00:00,23.4300003052,23.4599990845,23.0100002289,23.2700004578,37796900,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-23 03:00:00,23.5799999237,24.2900009155,23.5799999237,23.9599990845,23714600,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-24 03:00:00,23.8299999237,23.9599990845,23.3999996185,23.6499996185,14982000,0.0,0,False,True,1774560934640,BBAS3.SA
2026-03-25 03:00:00,23.8099994659,24.3199996948,23.7299995422,23.8600006104,20200600,0.0,0,False,False,1774560934640,BBAS3.SA
2026-03-26 03:00:00,23.5799999237,23.7999992371,22.9200000763,23.0599994659,28161800,0.0,0,False,False,1774560934640,BBAS3.SA
2026-02-25 03:00:00,16.6100006104,16.6399993896,16.2600002289,16.3799991608,29966400,0.0,0,False,True,1774560938063,ABEV3.SA
2026-02-26 03:00:00,16.4200000763,16.6000003815,16.3600006104,16.4099998474,18040900,0.0,0,False,True,1774560938063,ABEV3.SA
2026-02-27 03:00:00,16.3199996948,16.5200004578,16.25,16.2700004578,34463800,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-02 03:00:00,15.970000267,16.2000007629,15.8699998856,15.9099998474,18638600,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-03 03:00:00,15.3500003815,15.5799999237,15.1499996185,15.5699996948,40085300,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-04 03:00:00,15.6999998093,15.8400001526,15.3999996185,15.6000003815,26249500,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-05 03:00:00,15.4899997711,15.5600004196,15.2600002289,15.2899999619,26954000,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-06 03:00:00,15.3000001907,15.3400001526,14.9600000381,15.2299995422,17914800,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-09 03:00:00,15.1999998093,15.5600004196,15.1300001144,15.4099998474,21901300,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-10 03:00:00,15.4300003052,15.720000267,15.3900003433,15.4499998093,20894000,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-11 03:00:00,15.3100004196,15.5500001907,15.1999998093,15.4300003052,19594000,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-12 03:00:00,15.220000267,15.25,14.8699998856,14.9499998093,37546800,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-13 03:00:00,14.8699998856,15.2299995422,14.8699998856,15.0,25418200,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-16 03:00:00,15.1999998093,15.3199996948,15.1000003815,15.1000003815,28906400,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-17 03:00:00,15.1499996185,15.1899995804,14.9499998093,15.0200004578,27499600,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-18 03:00:00,14.9499998093,15.0600004196,14.7399997711,14.7399997711,20403700,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-19 03:00:00,14.5200004578,14.7700004578,14.4399995804,14.7700004578,30848100,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-20 03:00:00,14.6899995804,14.75,14.3299999237,14.470000267,65705300,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-23 03:00:00,14.6800003052,14.8299999237,14.529999733,14.6599998474,23231600,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-24 03:00:00,14.6599998474,14.760000228900001,14.5,14.6999998093,13573700,0.0,0,False,True,1774560938063,ABEV3.SA
2026-03-25 03:00:00,14.8900003433,15.1199998856,14.7899999619,15.0100002289,25296600,0.0,0,False,False,1774560938063,ABEV3.SA
2026-03-26 03:00:00,14.8800001144,15.0500001907,14.8100004196,14.8299999237,13287000,0.0,0,False,False,1774560938063,ABEV3.SA
